@relation tweets-sentimientos-consistentes-español
@attribute 'tweetid' numeric
@attribute 'user' string
@attribute 'content' string
@attribute 'date' date
@attribute 'lang' { 'es', 'unknown'}
@attribute 'value' { 'O', 'E', 'P', 'n+', 'p+', 'N'}
@attribute 'type' { 'AGREEMENT', 'DISAGREEMENT'}
@data
142389495503925248,'ccifuentes','Salgo de #VeoTV , que día más largoooooo...','2011-12-02T00:47:55',es,'O','AGREEMENT'
142389933619945473,'CarmendelRiego','@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias','2011-12-02T00:49:40',es,'E','DISAGREEMENT'
142391947707940864,'CarmendelRiego','@marodriguezb Gracias MAR','2011-12-02T00:57:40',es,'P','AGREEMENT'
142416095012339712,'mgilguerrero','Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)','2011-12-02T02:33:37',es,'n+','AGREEMENT'
142422495721562112,'paurubio','Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!','2011-12-02T02:59:03',es,'p+','AGREEMENT'
142424715175280640,'paurubio','RT @FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era @paurubio...','2011-12-02T03:07:52',es,'O','AGREEMENT'
142483342040907776,'Carlos_Latre','Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!','2011-12-02T07:00:50',es,'p+','AGREEMENT'
142493511634259968,'Ignacos','Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.','2011-12-02T07:41:15',es,'O','AGREEMENT'
142494476051562496,'nacho_uriarte','Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.','2011-12-02T07:45:05',es,'p+','AGREEMENT'
142496796416016384,'JuanraLucas','Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb','2011-12-02T07:54:19',es,'p+','AGREEMENT'
142497735814287360,'pedroj_ramirez','Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.','2011-12-02T07:58:02',es,'p+','AGREEMENT'
142499355360903168,'sevillajordi','Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?','2011-12-02T08:04:28',es,'p+','AGREEMENT'
142504935853006848,'Carlos_Latre','#programascambiados caca d ajuste','2011-12-02T08:26:38',es,'n+','AGREEMENT'
142507006832553984,'Lissavetzky_M','Buen viernes','2011-12-02T08:34:52',es,'P','AGREEMENT'
142509609565962240,'Carlos_Latre','“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;)','2011-12-02T08:45:13',es,'p+','AGREEMENT'
142512151628750849,'PaulaVazquezTV','Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?','2011-12-02T08:55:19',es,'O','AGREEMENT'
142512293681438720,'mariviromero','Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]: http://t.co/lzDVsoCu','2011-12-02T08:55:53',es,'O','AGREEMENT'
142513785154969600,'mariviromero','La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija','2011-12-02T09:01:48',es,'p+','AGREEMENT'
