Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
21,Adalberto Enrique Jaimes,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
71,Albeiro Vanegas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Alfonso Angarita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Alfonso Enrique Anaya,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
243,Alonso Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Alvaro Alfonso Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Andres Ricaurte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Antonio Del Cristo Guerra,1,5,0,0,1,1,0,1,0,2,0,5,0,1,1
472,Arcesio Perdomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Basilio Villamizar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Bernardo Miguel Elias,0,0,0,0,0,0,0,0,0,6,3,0,2,4,0
649,Camilo Hernando Torres,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
705,Carlos Abraham Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,Carlos Armando Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Carlos Arturo Quintero,1,1,0,0,0,1,0,1,0,1,1,2,0,12,0
787,Carlos Eduardo Enriquez,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0
810,Carlos Enrique Soto,3,3,1,0,0,1,8,2,1,6,3,8,5,12,1
837,Carlos Ivan Adrada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
883,Carlos Salvador Albornoz,1,4,0,0,0,2,0,0,0,4,1,0,0,0,0
978,Cesar Laureano Negret,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
997,Ciro Antonio Rodriguez,0,0,0,1,0,0,0,0,1,0,3,7,1,0,0
1037,Consuelo Duran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Daira De Jesus Galvis,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0
1089,Dario Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,Diego Patino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,Dixon Ferney Tapasco,0,4,0,0,0,1,0,0,2,1,4,11,20,17,6
1216,Edgar Fandino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,Eduardo Augusto Benitez,0,2,1,0,0,3,2,0,0,3,0,0,0,0,0
1363,Efrain Jose Cepeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,Eleonora Maria Pineda,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1408,Elsy Janeth Melo,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1449,Enrique Emilio Angel,1,3,0,0,0,0,0,0,2,5,0,16,16,10,0
1539,Fabio Raul Amin,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
1668,Francisco Canossa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728,Fredy Ignacio Sanchez,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1749,Gabriel Antonio Espinosa,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
1785,Gerardo Vecino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,German Varon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,German Antonio Aguirre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,Gilberto Rondon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Griselda Janeth Restrepo,0,0,0,0,0,2,2,5,0,0,3,6,4,6,0
1976,Guillermo Rivera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Guillermo Leon Gaviria,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0
2027,Gustavo Ramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,Hector Faber Giraldo,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2123,Hector Julio Alfonso,0,0,0,0,0,0,0,0,0,32,31,2,0,54,8
2176,Herminsul Sinisterra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,Honorio Galvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2299,Humberto Pava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Isabel Maria Figueroa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,Ivan Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,Jaime Cervantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,Jaime Antonio Gonzalez,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2447,Jaime Ernesto Canal,1,26,18,33,0,8,2,7,6,6,0,0,6,2,0
2506,Jairo De Jesus Tapias,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2549,Javier Enrique Caceres,0,4,0,0,0,2,0,0,0,0,1,0,3,2,2
2559,Javier Tato Alvarez,2,8,1,0,0,1,2,2,0,4,4,4,1,6,0
2615,Jesus Ignacio Garcia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2666,Joaquin Jose Vives,6,6,11,8,6,27,38,91,8,9,29,28,44,10,14
2726,Jorge Alberto Gerlein,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2745,Jorge Aurelio Iragorri,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0
2752,Jorge Eduardo Gechem,1,5,0,1,2,32,17,3,3,4,8,134,30,36,13
