Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
21,Adalberto Enrique Jaimes,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
71,Albeiro Vanegas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
165,Alfonso Angarita,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
202,Alfonso Enrique Anaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Alonso Acosta,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0
301,Alvaro Alfonso Garcia,0,0,0,0,0,0,0,0,0,0,5,55,27,49,19
376,Andres Ricaurte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Antonio Del Cristo Guerra,0,0,0,0,0,0,0,0,0,0,2,12,12,15,11
472,Arcesio Perdomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Basilio Villamizar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Bernardo Miguel Elias,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
649,Camilo Hernando Torres,0,0,0,0,0,0,0,0,0,0,1,40,48,44,16
705,Carlos Abraham Moreno,0,0,0,0,0,0,0,0,0,0,1,28,12,42,22
746,Carlos Armando Garcia,0,0,0,0,0,0,0,0,0,0,7,103,22,29,11
766,Carlos Arturo Quintero,0,0,0,0,0,0,0,0,0,0,3,28,59,22,5
787,Carlos Eduardo Enriquez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,Carlos Enrique Soto,0,0,0,0,0,0,0,0,0,0,0,2,4,1,5
837,Carlos Ivan Adrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Carlos Salvador Albornoz,0,0,0,0,0,0,0,0,0,0,1,20,12,21,14
978,Cesar Laureano Negret,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
997,Ciro Antonio Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
1037,Consuelo Duran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Daira De Jesus Galvis,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4
1089,Dario Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,Diego Patino,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
1190,Dixon Ferney Tapasco,0,0,0,0,0,0,0,0,0,0,0,5,2,7,2
1216,Edgar Fandino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,Eduardo Augusto Benitez,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
1363,Efrain Jose Cepeda,0,0,0,0,0,0,0,0,0,0,2,52,53,26,7
1375,Eleonora Maria Pineda,0,0,0,0,0,0,0,0,0,0,6,36,19,24,12
1408,Elsy Janeth Melo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,Enrique Emilio Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
1539,Fabio Raul Amin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1668,Francisco Canossa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1728,Fredy Ignacio Sanchez,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1749,Gabriel Antonio Espinosa,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1785,Gerardo Vecino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,German Varon,0,0,0,0,0,0,0,0,0,0,0,81,100,20,32
1832,German Antonio Aguirre,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1872,Gilberto Rondon,0,0,0,0,0,0,0,0,0,0,0,1,8,13,0
1945,Griselda Janeth Restrepo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1976,Guillermo Rivera,0,0,0,0,0,0,0,0,0,0,0,52,45,35,32
2001,Guillermo Leon Gaviria,0,0,0,0,0,0,0,0,0,0,1,31,10,16,14
2027,Gustavo Ramos,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2103,Hector Faber Giraldo,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
2123,Hector Julio Alfonso,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2176,Herminsul Sinisterra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,Honorio Galvis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2299,Humberto Pava,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2330,Isabel Maria Figueroa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,Ivan Moreno,0,0,0,0,0,0,0,0,0,0,2,24,23,137,261
2383,Jaime Cervantes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2429,Jaime Antonio Gonzalez,0,0,0,0,0,0,0,0,0,0,0,6,11,2,4
2447,Jaime Ernesto Canal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2506,Jairo De Jesus Tapias,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
2549,Javier Enrique Caceres,0,0,0,0,0,0,0,0,0,0,0,56,136,66,29
2559,Javier Tato Alvarez,0,0,0,0,0,0,0,0,0,0,0,11,68,10,9
2615,Jesus Ignacio Garcia,0,0,0,0,0,0,0,0,0,0,0,9,7,4,2
2666,Joaquin Jose Vives,0,0,0,0,0,0,0,0,0,0,0,4,15,2,0
2726,Jorge Alberto Gerlein,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
2745,Jorge Aurelio Iragorri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2752,Jorge Eduardo Gechem,0,0,0,0,0,0,0,0,0,0,0,7,2,3,1
2768,Jorge Eliecer Guevara,0,0,0,0,0,0,0,0,0,0,0,7,9,3,8
2787,Jorge Enrique Robledo,0,0,0,0,0,0,0,0,0,0,1,43,45,58,45
2803,Jorge Homero Giraldo,0,0,0,0,0,0,0,0,0,0,0,6,9,11,4
2832,Jorge Leon Sanchez,0,0,0,0,0,0,0,0,0,0,0,3,14,7,7
2920,Jose Alvaro Sanchez,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2
2939,Jose Ariolfo Ortiz,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2968,Jose De Los Santos Negrete,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3003,Jose Gerardo Piamba,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
