Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
21,Adalberto Enrique Jaimes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Albeiro Vanegas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Alfonso Angarita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Alfonso Enrique Anaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Alonso Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Alvaro Alfonso Garcia,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
376,Andres Ricaurte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Antonio Del Cristo Guerra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
472,Arcesio Perdomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Basilio Villamizar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Bernardo Miguel Elias,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4
649,Camilo Hernando Torres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,Carlos Abraham Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,Carlos Armando Garcia,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
766,Carlos Arturo Quintero,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
787,Carlos Eduardo Enriquez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
810,Carlos Enrique Soto,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
837,Carlos Ivan Adrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Carlos Salvador Albornoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,Cesar Laureano Negret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,Ciro Antonio Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1037,Consuelo Duran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Daira De Jesus Galvis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1089,Dario Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,Diego Patino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,Dixon Ferney Tapasco,0,0,0,0,0,0,0,0,0,0,0,4,3,9,7
1216,Edgar Fandino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,Eduardo Augusto Benitez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,Efrain Jose Cepeda,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1375,Eleonora Maria Pineda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,Elsy Janeth Melo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,Enrique Emilio Angel,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7
1539,Fabio Raul Amin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,Francisco Canossa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728,Fredy Ignacio Sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1749,Gabriel Antonio Espinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,Gerardo Vecino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,German Varon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,German Antonio Aguirre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,Gilberto Rondon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Griselda Janeth Restrepo,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
1976,Guillermo Rivera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Guillermo Leon Gaviria,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
2027,Gustavo Ramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,Hector Faber Giraldo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2123,Hector Julio Alfonso,0,0,0,0,0,0,0,0,0,0,2,0,0,8,5
2176,Herminsul Sinisterra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,Honorio Galvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2299,Humberto Pava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Isabel Maria Figueroa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,Ivan Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,Jaime Cervantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,Jaime Antonio Gonzalez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,Jaime Ernesto Canal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2506,Jairo De Jesus Tapias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549,Javier Enrique Caceres,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2559,Javier Tato Alvarez,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1
2615,Jesus Ignacio Garcia,0,0,0,0,0,0,0,0,0,0,0,10,4,5,5
2666,Joaquin Jose Vives,0,0,0,0,0,0,0,0,0,0,0,17,33,5,9
2726,Jorge Alberto Gerlein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
