Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
21,Adalberto Enrique Jaimes,18,2,4,1,1,7,13,18,11,0,10,0,6,0,0
71,Albeiro Vanegas,1,0,1,2,9,3,1,1,0,0,1,0,14,10,3
165,Alfonso Angarita,54,78,27,30,19,44,31,31,33,6,3,0,0,0,2
202,Alfonso Enrique Anaya,4,7,3,0,1,0,0,0,0,0,0,4,1,1,0
243,Alonso Acosta,19,36,28,21,8,5,59,81,12,8,22,22,14,3,5
301,Alvaro Alfonso Garcia,0,1,0,1,0,1,0,0,2,4,5,6,2,3,0
376,Andres Ricaurte,3,3,0,0,2,0,0,2,0,0,1,0,0,0,4
449,Antonio Del Cristo Guerra,34,76,57,49,36,14,21,17,13,41,62,63,73,79,26
472,Arcesio Perdomo,0,3,1,2,2,4,0,0,0,0,0,0,3,1,0
572,Basilio Villamizar,4,8,4,110,95,10,14,0,0,1,0,0,0,0,0
605,Bernardo Miguel Elias,0,0,0,0,0,0,0,1,0,4,7,4,2,3,5
649,Camilo Hernando Torres,164,122,112,90,114,62,85,102,59,68,77,152,137,155,27
705,Carlos Abraham Moreno,344,363,486,481,499,317,329,356,134,284,473,436,230,316,152
746,Carlos Armando Garcia,1,1,3,3,1,4,1,16,11,1,4,8,5,10,0
766,Carlos Arturo Quintero,73,56,15,12,6,9,6,21,17,38,101,177,384,281,82
787,Carlos Eduardo Enriquez,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0
810,Carlos Enrique Soto,72,42,43,34,20,35,43,35,19,62,78,117,71,60,82
837,Carlos Ivan Adrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Carlos Salvador Albornoz,7,18,10,3,5,13,16,14,8,38,53,77,48,28,43
978,Cesar Laureano Negret,12,39,43,32,7,14,45,68,42,12,9,1,1,7,0
997,Ciro Antonio Rodriguez,1,0,0,0,0,0,0,1,0,4,2,10,2,4,1
1037,Consuelo Duran,323,382,337,301,260,232,248,230,206,215,313,612,626,580,252
1063,Daira De Jesus Galvis,4,5,0,0,0,0,0,0,0,2,0,2,11,9,6
1089,Dario Cordoba,1,1,1,0,2,8,4,2,0,0,0,0,0,1,0
1154,Diego Patino,50,0,1,6,1,0,0,1,0,6,10,4,1,4,0
1190,Dixon Ferney Tapasco,0,1,0,0,0,0,0,6,1,4,12,22,9,7,15
1216,Edgar Fandino,0,0,0,0,0,0,4,2,0,0,1,0,0,1,0
1329,Eduardo Augusto Benitez,3,8,10,5,11,4,10,19,10,36,3,0,5,0,2
1363,Efrain Jose Cepeda,28,70,31,22,9,10,12,18,1,23,67,171,212,48,29
1375,Eleonora Maria Pineda,0,0,0,0,0,3,4,27,20,57,156,68,24,32,12
1408,Elsy Janeth Melo,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1
1449,Enrique Emilio Angel,3,11,3,3,19,9,0,0,2,4,21,16,39,15,0
1539,Fabio Raul Amin,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0
1668,Francisco Canossa,5,38,32,27,20,10,5,1,1,0,0,0,0,0,0
1728,Fredy Ignacio Sanchez,10,11,4,2,2,4,3,2,0,0,5,0,0,0,0
1749,Gabriel Antonio Espinosa,7,4,9,2,1,1,0,2,3,4,6,4,11,4,0
1785,Gerardo Vecino,2,27,16,7,3,2,7,1,1,3,5,16,8,7,6
1822,German Varon,10,8,8,7,6,5,6,8,4,4,6,24,14,10,5
1832,German Antonio Aguirre,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0
1872,Gilberto Rondon,7,7,17,13,5,6,32,0,0,1,12,20,31,30,1
1945,Griselda Janeth Restrepo,0,0,0,0,0,11,7,11,2,4,1,1,2,6,0
1976,Guillermo Rivera,44,29,48,34,13,26,33,31,20,26,76,97,142,79,57
2001,Guillermo Leon Gaviria,136,130,20,44,182,109,246,63,47,65,93,131,52,31,16
2027,Gustavo Ramos,17,29,38,12,10,8,13,17,6,7,24,5,12,7,1
2103,Hector Faber Giraldo,4,4,4,0,6,0,3,2,0,3,7,5,0,0,0
